Date,OPEN,HIGH,LOW,LAST,VOLUME
4/8/2008,22630.59,22713.58,22425.13,22514.92,1293079168
5/8/2008,22225.06,22225.06,21739.22,21949.75,1946666112
7/8/2008,22403.26,22424.54,21915.28,22104.2,2172200704
8/8/2008,21997.64,22230.55,21690.6,21885.21,1737934720
11/8/2008,22020.54,22235.51,21859.34,21859.34,1549134208
12/8/2008,21992.18,22309.33,21640.89,21640.89,1868403584
13/8/2008,21270.86,21665.75,21223.38,21293.32,3083083776
14/8/2008,21302.7,21453.48,21109.01,21392.71,2250392832
15/8/2008,21383.71,21383.71,20994.54,21160.58,1450461312
18/8/2008,21163.01,21206.6,20751.14,20930.67,1318434048
19/8/2008,20675.75,20902.51,20484.37,20484.37,1387873536
20/8/2008,20388.79,20971.19,20388.79,20931.26,1838994432
21/8/2008,20762.65,20762.65,20350.48,20392.06,1711519360
25/8/2008,20739.48,21108.25,20739.48,21104.79,1915426304
26/8/2008,20849.08,21173.56,20785.8,21056.66,1382900736
27/8/2008,21104.56,21464.72,21104.56,21464.72,1945726208
28/8/2008,21546.94,21546.94,20857.03,20972.29,2187599104
29/8/2008,21289.7,21474.31,21223.99,21261.89,2047897216
1/9/2008,20999.32,21031.08,20844.15,20906.31,1213874688
2/9/2008,20956.94,21066.58,20595.59,21042.46,1618410496
3/9/2008,20964.75,20964.75,20526.73,20585.06,1666102272
4/9/2008,20545.38,20621.48,20356.51,20389.48,1561120640
5/9/2008,19833.87,19987.15,19708.39,19933.28,2582614528
8/9/2008,20840.69,20840.69,20637.99,20794.27,3035311104
9/9/2008,20439.47,20543.15,20299.97,20491.11,1942634240
10/9/2008,20114.86,20283.99,19951.36,19999.78,2697584128
11/9/2008,19854.82,19854.82,19220.28,19388.72,2913054720
12/9/2008,19432.72,19525.55,19157.73,19352.9,2445765120
16/9/2008,18325.65,18538.51,18019.2,18300.61,5213601280
17/9/2008,18691.3,18699.18,17637.19,17637.19,4390107136
18/9/2008,17120.23,17849.97,16283.72,17632.46,6237659136
19/9/2008,18878.26,19327.73,18588.11,19327.73,6690248704
22/9/2008,19869.02,19869.02,19137.67,19632.2,3731644672
23/9/2008,19178.49,19302.76,18872.85,18872.85,2546635776
24/9/2008,18954.32,19291.02,18862.9,18961.99,2084467968
25/9/2008,19003.22,19248.72,18870.11,18934.43,1682466432
26/9/2008,18909.59,18936.94,18500.11,18682.09,1895439488
29/9/2008,18742.25,18742.25,17796.34,17880.68,2578483712
30/9/2008,16898.33,18029.77,16799.29,18016.21,3226857216
2/10/2008,17870.43,18285.68,17631.7,18211.11,2476190464
3/10/2008,17788.99,17926.14,17682.4,17682.4,2074882944
6/10/2008,17156.21,17241.78,16790.86,16803.76,2234392320
8/10/2008,16107.98,16422.52,15431.73,15431.73,4925746688
9/10/2008,15598.24,15990.2,15550.86,15943.24,3388923392
10/10/2008,14717.52,14910.55,14398.54,14796.87,4705158144
13/10/2008,15156.16,16376.42,14754.64,16312.16,4305063424
14/10/2008,17141.05,17141.05,16615.01,16832.88,4018110720
15/10/2008,16609.09,16609.09,15961.92,15998.3,2561710336
16/10/2008,14902.34,15230.52,14578.54,15230.52,4412590592
17/10/2008,15081.46,15300.07,14554.21,14554.21,3950754560
20/10/2008,14691.9,15472.68,14691.79,15323.01,3013349120
21/10/2008,15616.96,15616.96,14884.07,15041.17,2354328832
22/10/2008,14878.21,15161.69,14038.41,14266.6,3102115840
23/10/2008,13596.31,14032.25,13403.35,13760.49,3545922816
24/10/2008,13478.63,13478.63,12618.38,12618.38,3538915584
27/10/2008,12372.75,12736.85,10676.29,11015.84,4834423296
28/10/2008,11154.57,12596.29,11133.94,12596.29,5810940416
29/10/2008,12807.35,13307.42,12333.94,12702.07,4183641344
30/10/2008,13280.44,14329.85,13280.44,14329.85,5338289664
31/10/2008,14037.37,14122.78,13517.42,13968.67,3531208960
3/11/2008,14436.03,14889.13,14272.17,14344.37,2971271168
4/11/2008,14337.62,14539.59,13853.16,14384.34,2387901696
5/11/2008,15045.53,15317.83,14750.04,14840.16,3458872832
6/11/2008,14081.76,14081.76,13674.07,13790.04,2739083776
7/11/2008,13273.09,14254.22,13273.09,14243.43,2750325248
10/11/2008,15033.18,15147.96,14453.62,14744.63,2801049856
11/11/2008,14322.95,14853.83,13926.71,14040.9,2453779200
12/11/2008,14155.26,14256.06,13626.31,13939.09,2071500032
13/11/2008,13068.93,13373.11,12943.11,13221.35,2813729792
14/11/2008,13749.53,13749.53,13493.86,13542.66,2182739200
17/11/2008,13584.35,13738.12,13277.64,13529.53,1604626688
18/11/2008,13298.88,13363.57,12676.28,12915.89,2489004544
19/11/2008,12827.37,13179.33,12738.53,12815.8,2060798336
20/11/2008,12170.98,12298.56,11976.88,12298.56,3096103168
21/11/2008,11814.81,13048.5,11814.81,12659.2,3106043392
24/11/2008,12239.49,12707.23,12239.49,12457.94,1769147264
25/11/2008,13012,13090.88,12767.44,12878.6,2466291968
26/11/2008,12990.35,13369.45,12990.35,13369.45,2394587392
27/11/2008,13901.45,13930.91,13332.93,13552.06,2776072192
28/11/2008,13550.29,13896.49,13550.29,13888.24,2150281472
1/12/2008,13775.28,14253.66,13659.44,14108.84,2041643520
2/12/2008,13373.02,13513.5,13344.6,13405.85,1961207808
3/12/2008,13598.6,13778.05,13573.43,13588.66,1811385216
4/12/2008,13857.29,13883.87,13459.61,13509.78,1862633728
5/12/2008,13718.92,13875.14,13656.92,13846.09,1750565888
8/12/2008,14303.25,15044.87,14303.25,15044.87,3219421184
9/12/2008,15032.33,15205.32,14717.47,14753.22,2440344320
10/12/2008,14946,15578.96,14946,15577.74,2684204032
11/12/2008,15533.62,15781.05,15337.73,15613.9,2477378560
12/12/2008,15287.7,15393.09,14479.23,14758.39,2916320768
15/12/2008,15363.49,15386.9,15007.42,15046.95,2021422080
16/12/2008,15018.46,15217.25,14819.73,15130.21,1661605248
17/12/2008,15544.97,15557.45,15179.38,15460.52,2180481536
18/12/2008,15335.3,15548.26,15301.16,15497.81,1883006336
19/12/2008,15235.22,15444.28,15014.98,15127.51,2420226816
22/12/2008,15177.12,15227.43,14622.39,14622.39,1413014272
23/12/2008,14472.03,14491.75,14084.86,14220.79,1494154624
24/12/2008,13855.89,14300.7,13855.89,14184.14,865498752
29/12/2008,14080.86,14332.02,13924.32,14328.48,1046621568
30/12/2008,14476.74,14513.48,14189.08,14235.5,1441715712
31/12/2008,14377.51,14527.1,14302.15,14387.48,1612195456
2/1/2009,14448.22,15042.81,14412.12,15042.81,1752401792
5/1/2009,15349.33,15563.31,15128.32,15563.31,2172620800
6/1/2009,15612.47,15651.61,15367.93,15509.51,2484472320
7/1/2009,15759.53,15763.55,14976.74,14987.46,9799119872
8/1/2009,14755.81,14755.81,14334.15,14415.91,4374435840
9/1/2009,14530.83,14673.6,14297.41,14377.44,3332496384
12/1/2009,14312.26,14312.26,13895.04,13971,4111599616
13/1/2009,13930.27,14118.93,13644.54,13668.05,3480885504
14/1/2009,13807.03,14019.03,13674.96,13704.61,15376688128
15/1/2009,13136.23,13300.75,12904.05,13242.96,4146203904
16/1/2009,13278.97,13423.24,13113.45,13255.51,3467109888
19/1/2009,13414.09,13519.18,13097.5,13339.99,2194428928
20/1/2009,12854.4,13160.87,12816.25,12959.77,2521573888
21/1/2009,12534.6,12762.54,12439.13,12583.63,3303948032
22/1/2009,12844.37,12895.25,12657.1,12657.99,1878278656
23/1/2009,12542.01,12734.8,12469.84,12578.6,2198158080
29/1/2009,13560.07,13560.07,13109.27,13154.43,2662270208
30/1/2009,12958.08,13390.12,12899.57,13278.21,3689336832
2/2/2009,13194,13239.5,12733.35,12861.49,2005489920
3/2/2009,12991.49,13065.97,12729.04,12776.89,1562248832
4/2/2009,13029.42,13108.74,12975.3,13063.89,2070871040
5/2/2009,13084.79,13492.53,13018.64,13178.9,3384982272
6/2/2009,13535.76,13660.24,13322.62,13655.04,2428156928
9/2/2009,13865.59,13865.59,13561.54,13769.06,2692955648
10/2/2009,13787.12,13976.31,13663.41,13880.64,1957900544
